denominacion,periodo,Tinto,Blanco,Total
Tacoronte-Acentejo,2016,681950,72343,754293
Tacoronte-Acentejo,2015,1221482,144310,1365792
Tacoronte-Acentejo,2014,1222997,128725,1351722
Tacoronte-Acentejo,2013,1751667,197370,1949037
Tacoronte-Acentejo,2012,1466337,127123,1593460
Tacoronte-Acentejo,2011,775412,61588,837000
Tacoronte-Acentejo,2010,956741,68794,1025535
Tacoronte-Acentejo,2009,671783,76887,748670
Tacoronte-Acentejo,2008,1532800,152480,1685280
Tacoronte-Acentejo,2007,800481,73494,873975
Tacoronte-Acentejo,2006,2387634,251236,2638870
Tacoronte-Acentejo,2005,1885112,132190,2017302
Tacoronte-Acentejo,2004,1399991,398583,1798574
Tacoronte-Acentejo,2003,1869781,199757,2069538
Valle de la Orotava,2016,325934,319678,645612
Valle de la Orotava,2015,283853,317962,601815
Valle de la Orotava,2014,283050,304883,587933
Valle de la Orotava,2013,476640,324952,801592
Valle de la Orotava,2012,460633,239576,700209
Valle de la Orotava,2011,343555,171598,515153
Valle de la Orotava,2010,315504,123498,439002
Valle de la Orotava,2009,289274,268673,557947
Valle de la Orotava,2008,620056,302450,922506
Valle de la Orotava,2007,350118,143991,494109
Valle de la Orotava,2006,903526,398058,1301584
Valle de la Orotava,2005,738764,169896,908660
Valle de la Orotava,2004,570454,392603,963057
Valle de la Orotava,2003,865137,351947,1217084
Ycoden-Daute-Isora,2016,133488,310405,443893
Ycoden-Daute-Isora,2015,179723,276881,456604
Ycoden-Daute-Isora,2014,217755,523045,740800
Ycoden-Daute-Isora,2013,362528,594200,956728
Ycoden-Daute-Isora,2012,273569,350959,624528
Ycoden-Daute-Isora,2011,164448,230382,394830
Ycoden-Daute-Isora,2010,191624,228531,420155
Ycoden-Daute-Isora,2009,216398,460794,677192
Ycoden-Daute-Isora,2008,245046,455719,700765
Ycoden-Daute-Isora,2007,266682,388628,655310
Ycoden-Daute-Isora,2006,390638,843939,1234577
Ycoden-Daute-Isora,2005,390638,449347,839985
Ycoden-Daute-Isora,2004,361347,891873,1253220
Ycoden-Daute-Isora,2003,372480,841097,1213577
Abona,2016,394877,623859,1018736
Abona,2015,570173,1043797,1613970
Abona,2014,597310,1040651,1637961
Abona,2013,452401,637231,1089632
Abona,2012,589059,725131,1314190
Abona,2011,443712,497891,941603
Abona,2010,483996,535686,1019682
Abona,2009,475024,733940,1208964
Abona,2008,413003,573101,986104
Abona,2007,426992,480003,906995
Abona,2006,454583,1017557,1472140
Abona,2005,510781,587652,1098433
Abona,2004,164395,391178,555573
Abona,2003,238813,807591,1046404
Valle de Güimar,2016,74430,242887,317317
Valle de Güimar,2015,102146,327075,429221
Valle de Güimar,2014,97242,215836,313078
Valle de Güimar,2013,102098,226601,328699
Valle de Güimar,2012,114275,313366,427641
Valle de Güimar,2011,56713,172882,229595
Valle de Güimar,2010,79161,219007,298168
Valle de Güimar,2009,84772,387256,472028
Valle de Güimar,2008,152913,433072,585985
Valle de Güimar,2007,149351,260834,410185
Valle de Güimar,2006,261199,262200,523399
Valle de Güimar,2005,208661,394442,603103
Valle de Güimar,2004,139369,340335,479704
Valle de Güimar,2003,159639,364926,524565
TOTAL,2016,1610679,1569172,3179851
TOTAL,2015,2357377,2110025,4467402
TOTAL,2014,2418354,2213140,4631494
TOTAL,2013,3145334,1980354,5125688
TOTAL,2012,2903873,1756155,4660028
TOTAL,2011,1783840,1134341,2918181
TOTAL,2010,2027027,1175517,3202544
TOTAL,2009,1737253,1927552,3664805
TOTAL,2008,2963818,1916822,4880640
TOTAL,2007,1993624,1346950,3340574
TOTAL,2006,4397580,2772990,7170570
TOTAL,2005,3733956,1733527,5467483
TOTAL,2004,2635556,2414572,5050128
TOTAL,2003,3505850,2565318,6071168
